precinct,name,member_key,brookline_by_design,brookline_by_design_source_name,brookline_for_everyone,brookline_for_everyone_source_name,endorsement_bucket
5,"Stahl, Wendy","Stahl, Wendy (Precinct 5)",no,,no,,neither
6,"Anderson, Catherine C.","Anderson, Catherine C. (Precinct 6)",no,,no,,neither
6,"Bassett, John","Bassett, John (Precinct 6)",no,,no,,neither
6,"Conquest, III, Arthur Wellington","Conquest, III, Arthur Wellington (Precinct 6)",no,,no,,neither
6,"Correa, Patricia Ann","Correa, Patricia Ann (Precinct 6)",no,,no,,neither
6,"Englander, Scott L.","Englander, Scott L. (Precinct 6)",no,,no,,neither
6,"Fishman, Daniel","Fishman, Daniel (Precinct 6)",no,,yes,Daniel Fishman,brookline_for_everyone
6,"Kitov, Ruvi","Kitov, Ruvi (Precinct 6)",no,,no,,neither
6,"Perlman, Bitsy","Perlman, Bitsy (Precinct 6)",no,,no,,neither
6,"Porter, David","Porter, David (Precinct 6)",no,,no,,neither
6,"Richmond, Clinton Q.","Richmond, Clinton Q. (Precinct 6)",no,,no,,neither
6,"Rudolph, Jeffrey David","Rudolph, Jeffrey David (Precinct 6)",no,,no,,neither
6,"Sheinin, Maxim","Sheinin, Maxim (Precinct 6)",no,,yes,Maxim Sheinin,brookline_for_everyone
6,"Smith, Kim","Smith, Kim (Precinct 6)",yes,Kim Smith,yes,Kim Smith,both
6,"Smith, Virginia A.","Smith, Virginia A. (Precinct 6)",yes,Virginia A. Smith,no,,brookline_by_design
6,"Vogt, Marissa F.","Vogt, Marissa F. (Precinct 6)",no,,no,,neither
7,"Eber, David Gordon","Eber, David Gordon (Precinct 7)",no,,no,,neither
7,"Falke, Roberta M.","Falke, Roberta M. (Precinct 7)",no,,no,,neither
7,"Frey, Ernest A.","Frey, Ernest A. (Precinct 7)",no,,no,,neither
7,"Hardebeck, Kelly A.","Hardebeck, Kelly A. (Precinct 7)",no,,no,,neither
7,"Hebert, John P.","Hebert, John P. (Precinct 7)",no,,no,,neither
7,"Levy, Mark E.","Levy, Mark E. (Precinct 7)",no,,no,,neither
7,"Maher, Patricia","Maher, Patricia (Precinct 7)",no,,no,,neither
7,"Margolis, Jonathan J.","Margolis, Jonathan J. (Precinct 7)",no,,no,,neither
7,"Newell, Amy Isikoff","Newell, Amy Isikoff (Precinct 7)",no,,no,,neither
7,"Schultz, Aylit","Schultz, Aylit (Precinct 7)",yes,Aylit Schultz,yes,Aylit Schultz,both
7,"Silberberg, Isaac","Silberberg, Isaac (Precinct 7)",no,,yes,Isaac Silberberg,brookline_for_everyone
7,"Stokes, Colin S.","Stokes, Colin S. (Precinct 7)",no,,yes,Colin Stokes,brookline_for_everyone
7,"Stokes, Jessica W.","Stokes, Jessica W. (Precinct 7)",no,,no,,neither
7,"Wu, Chi Chi","Wu, Chi Chi (Precinct 7)",no,,yes,Chi Chi Wu,brookline_for_everyone
7,"Zimmerman, Amanda","Zimmerman, Amanda (Precinct 7)",no,,yes,Amanda Zimmerman,brookline_for_everyone
