display_name,canonical_name,latest_precinct,precincts,sessions_count,sessions
"Knauf, Kristine","knauf, kristine",15,15,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Knott, Laura","knott, laura",13,13,6,May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Kovach, Christina","kovach, christina",8,8,3,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting
"Krepchin, Ira","krepchin, ira",15,15,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Krewinghaus, David","krewinghaus, david",11,11,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Kushner, Michael","kushner, michael",12,12,6,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting
"Lacy, Keith","lacy, keith",5,5,5,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting
"Ladd, Brian","ladd, brian",13,13,5,November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Laduzinski, Steven","laduzinski, steven",12,12,7,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting
"Lang, Jessica","lang, jessica",10,10,2,May 2024 Annual Town Meeting | November 2024 Special Town Meeting
"Lebovitz, Alexander","lebovitz, alexander",8,8,9,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Leibowitz, Akiva","leibowitz, akiva",11,11,2,May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Leichtner, Judith","leichtner, judith",16,16,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Leka, Donald","leka, donald",3,3,7,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Lepson, Robert","lepson, robert",9,9,10,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting
"Lescohier, David","lescohier, david",11,11,9,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Levene, Meggan","levene, meggan",3,3,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Levin, Bruce","levin, bruce",17,17,9,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Levy, Mark","levy, mark",7,7,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Lewis, Kenneth","lewis, kenneth",11,11,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Liautaud, Joanne","liautaud, joanne",3,3,9,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Lindenboim, Amie","lindenboim, amie",5,5,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Linder, Liz","linder, liz",4,4,9,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Linos, Natalia","linos, natalia",6,6,8,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting
"Lipson, Roger","lipson, roger",14,14,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Liss, Lisa","liss, lisa",2,2,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Lodish, Pamela","lodish, pamela",14,14,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Lohe, Werner","lohe, werner",13,13,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Loscalzo, Kimberly Elizabeth","loscalzo, kimberly elizabeth",10,10,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Loula, Elizabeth","loula, elizabeth",9,9,10,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting
"Lowe, David","lowe, david",11,11,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Lowenstein, Mark","lowenstein, mark",12,12,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Lynn-Jones, Sean","lynn-jones, sean",1,1,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Mabrouk, Omar","mabrouk, omar",5,5,9,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Machmuller, Wendy","machmuller, wendy",4,4; 5,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"MacKenzie, Kevin Thomas","mackenzie, kevin thomas",13,13,2,May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"MacMillan, Wendy","macmillan, wendy",4,4,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Maddocks, Ariel","maddocks, ariel",10,10,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Maddocks, Christopher","maddocks, christopher",10,10,2,May 2023 Annual Town Meeting | November 2023 Special Town Meeting
"Maher, Patricia","maher, patricia",7,7,6,May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Margolis, Hadassah","margolis, hadassah",8,8,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Margolis, Harry","margolis, harry",12,12,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Margolis, Jonathan","margolis, jonathan",7,7,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Mariash, Uri","mariash, uri",17,17,5,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting
"Mark, Amanda","mark, amanda",9,9,2,May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Mark, Daria","mark, daria",8,8,4,May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Marton, Thomas","marton, thomas",9,9,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Mattison, Hugh","mattison, hugh",5,5,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Mautner, Rebecca","mautner, rebecca",11,11,10,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"McClelland, A.","mcclelland, a",11,11,2,May 2021 Annual Town Meeting | November 2021 Special Town Meeting
"McClelland, Nicole","mcclelland, nicole",11,11,1,October 2021 Special Town Meeting
"McNally, Rita","mcnally, rita",17,2; 17,10,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting
"McNulty, Eric","mcnulty, eric",12,12,4,May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Meiklejohn, Randolph","meiklejohn, randolph",5,5,2,May 2021 Annual Town Meeting | October 2021 Special Town Meeting
"Mendels, David","mendels, david",13,13,6,May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Metral, Alexandra","metral, alexandra",1,1,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Michaels, Faith","michaels, faith",5,5,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Milhem, Jessica","milhem, jessica",5,5,2,May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Miller, Beth","miller, beth",5,5,4,May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Miller, Robert","miller, robert",2,2; 8,9,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Mittel, Shaari","mittel, shaari",14,14,11,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting
"Moghtader, Sarah","moghtader, sarah",1,1,5,November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Molloy, Margaret","molloy, margaret",12,12,3,November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Morrissey, Michelle","morrissey, michelle",16,16,2,October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Murphy, Joslin","murphy, joslin",16,16,9,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Murphy, Richard Myles","murphy, richard myles",16,16,9,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Mutty, Christopher","mutty, christopher",9,9; 17,6,May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Nangle, Richard","nangle, richard",15,15,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Navarrete, Jerry","navarrete, jerry",7,7,3,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting
"Neuefeind, Bettina","neuefeind, bettina",1,1,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Newell, Amy Isikoff","newell, amy isikoff",7,7,6,May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Newell, Max","newell, max",7,7,1,November 2023 Special Town Meeting
"Newsome, Colleen","newsome, colleen",2,2,2,May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Nobrega, Mariah","nobrega, mariah",4,4,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"O'Connell, Kathleen","o'connell, kathleen",14,14,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"O'Leary, Paul","o'leary, paul",5,5,2,May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"O'Leary, Phyllis","o'leary, phyllis",5,5,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"O'Neal, Kalymba","o'neal, kalymba",4,4,2,November 2022 Special Town Meeting | January 2023 Special Town Meeting
"O'Neal, Shawn","o'neal, shawn",4,4,5,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting
"O'Neal, Sr., Donelle","o'neal, sr, donelle",4,4,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Offner, Mike","offner, mike",12,12,1,May 2021 Annual Town Meeting
"Oge, Wadner","oge, wadner",15,15,9,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Otero, Ana","otero, ana",6,6,5,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting
"Park, Susan Kay","park, susan kay",17,2; 17,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Parla, John","parla, john",15,15,3,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting
"Paul, Rhea","paul, rhea",17,17,2,May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Pearlman, David Arenas","pearlman, david arenas",AL,15; AL,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Pehlke, Linda Olson","pehlke, linda olson",17,2; 17,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Penzel, Markus","penzel, markus",2,2,9,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Perler, Francine","perler, francine",8,8,6,May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Perlman, Bitsy","perlman, bitsy",6,6,6,May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Phillips, Jonathan","phillips, jonathan",12,12,1,November 2025 Special Town Meeting
"Piercy, Jane","piercy, jane",2,2,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Pollak, David","pollak, david",11,11,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Porter, David","porter, david",6,6,4,May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Poverman, Kate","poverman, kate",AL,AL,8,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting
"Priestly, Vena","priestly, vena",4,4,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Provost, Stacey","provost, stacey",7,7,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Raitt, Jennifer","raitt, jennifer",4,4,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Raitt, Jennifer Maris","raitt, jennifer maris",4,4,2,May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Reale, Chrisopher","reale, chrisopher",17,17,4,May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Reamer, Arden","reamer, arden",8,8,10,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting
"Redburn, Jeremy A.","redburn, jeremy a",12,12,2,May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Renkes, Thomas George","renkes, thomas george",13,13,4,May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Reyelt, William","reyelt, william",5,5,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Rhei-Gorer, Nancy","rhei-gorer, nancy",13,13,4,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting
"Richardson, Kimberley","richardson, kimberley",2,2,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Richmond, Clinton","richmond, clinton",6,6,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Ridruejo, Carlos","ridruejo, carlos",14,14,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Rios, Carlos","rios, carlos",5,5,5,May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting
"Roberts, Pamela","roberts, pamela",2,2,9,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Roberts, Susan","roberts, susan",17,2; 17,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
